datetime.utc,temp,site,keep,conversion,datetime.pdt
2022-04-22 6:26,8.5,cp-high,yes,7:00,2022-04-21 23:26
2022-04-22 6:56,8.5,cp-high,yes,7:00,2022-04-21 23:56
2022-04-22 7:26,8.5,cp-high,yes,7:00,2022-04-22 0:26
2022-04-22 7:56,8.5,cp-high,yes,7:00,2022-04-22 0:56
2022-04-22 8:26,8.5,cp-high,yes,7:00,2022-04-22 1:26
2022-04-22 8:56,8.5,cp-high,yes,7:00,2022-04-22 1:56
2022-04-22 9:26,8.5,cp-high,yes,7:00,2022-04-22 2:26
2022-04-22 9:56,8.5,cp-high,yes,7:00,2022-04-22 2:56
2022-04-22 10:26,8.5,cp-high,yes,7:00,2022-04-22 3:26
2022-04-22 10:56,8.5,cp-high,yes,7:00,2022-04-22 3:56
2022-04-22 11:26,8.5,cp-high,yes,7:00,2022-04-22 4:26
2022-04-22 11:56,8.5,cp-high,yes,7:00,2022-04-22 4:56
2022-04-22 12:26,8.5,cp-high,yes,7:00,2022-04-22 5:26
2022-04-22 12:56,8.5,cp-high,yes,7:00,2022-04-22 5:56
2022-04-22 13:26,8.5,cp-high,yes,7:00,2022-04-22 6:26
2022-04-22 13:56,8.5,cp-high,yes,7:00,2022-04-22 6:56
2022-04-22 14:26,8.5,cp-high,yes,7:00,2022-04-22 7:26
2022-04-22 14:56,8.5,cp-high,yes,7:00,2022-04-22 7:56
2022-04-22 15:26,8.5,cp-high,yes,7:00,2022-04-22 8:26
2022-04-22 15:56,8.5,cp-high,yes,7:00,2022-04-22 8:56
2022-04-22 16:26,8.5,cp-high,yes,7:00,2022-04-22 9:26
2022-04-22 16:56,9,cp-high,yes,7:00,2022-04-22 9:56
2022-04-22 17:26,9,cp-high,yes,7:00,2022-04-22 10:26
2022-04-22 17:56,9,cp-high,yes,7:00,2022-04-22 10:56
2022-04-22 18:26,9,cp-high,yes,7:00,2022-04-22 11:26
2022-04-22 18:56,9.5,cp-high,yes,7:00,2022-04-22 11:56
2022-04-22 19:26,9.5,cp-high,yes,7:00,2022-04-22 12:26
2022-04-22 19:56,11,cp-high,yes,7:00,2022-04-22 12:56
2022-04-22 20:26,10.5,cp-high,yes,7:00,2022-04-22 13:26
2022-04-22 20:56,14,cp-high,yes,7:00,2022-04-22 13:56
