illumina_sample_id,sample_id,site_id,original_sample_type,updated_sample_type,keep_samples,year,month,day,SampleID,water_type,salinity_notes,aquarium_salinity,position_of_meristem,length_cm,width_cm,fouling,bleaching,recovered_bleaching,blistering,reproductive,split,flap,holes,lab_or_field_sampled,aquarium,aquarium_day,desmerestia,spad500_reading_1,spad500_reading_2,notes,N.conduct,mean.conduct,sd.conduct,N.ph,mean.ph,sd.ph,N.temp,mean.temp,sd.temp,se.conduct,lci.conduct,uci.conduct,se.temp,lci.temp,uci.temp,se.ph,lci.ph,uci.ph
plate-1-well-11B_S10,plate-1-well-11B,lhp,meristem,meristem,y,2021,6,10,meristem_3_LHP,ocean,,NA,submerged,60.5,9.1,light,no,,,,,,,field,,,,11.4,12.2,,3,9.92,0.19974984,3,8.13,0.045825757,3,14.93333,0.05773503,0.115325626,9.693962,10.14604,0.03333333,14.868,14.99867,0.03333333,8.064667,8.195333
plate-1-well-11E_S13,plate-1-well-11E,scp,meristem,meristem,y,2021,6,23,meristem_4_SCP,ocean,,NA,waves,35,7.5,light,no,n,n,,,,,field,,,,15.6,16.4,,3,18.77667,0.090185,3,8.003333,0.060277138,3,18.46667,0.05773503,0.052068331,18.674613,18.87872,0.03333333,18.401333,18.532,0.03333333,7.938,8.068667
plate-1-well-11F_S14,plate-1-well-11F,gw,rock,meristem,y,2021,4,17,rock_3_GW,ocean,,NA,,NA,NA,,0,,,,,,,field,,,,NA,NA,,3,29.79333,0.19218047,3,8.206667,0.061101009,3,11.96667,0.30550505,0.110955447,29.575861,30.01081,0.17638342,11.620955,12.31238,0.17638342,7.860955,8.552378
plate-1-well-12B_S18,plate-1-well-12B,tb,meristem,meristem,y,2021,6,11,meristem_4_TB,ocean,,NA,waves,15.2,4.6,light,no,n,n,,,,,field,,,,18.7,19.6,,3,10.95,0.10392305,3,8.473333,0.04163332,3,15.86667,0.11547005,0.06,10.8324,11.0676,0.06666667,15.736,15.99733,0.06666667,8.342667,8.604
plate-1-well-12E_S21,plate-1-well-12E,tb,meristem,meristem,y,2021,6,11,meristem_6_TB,tidepool,,NA,submerged,25.2,4,light,no,n,y,,,,,field,,,,21.3,18.4,,3,11.31667,0.05773503,3,8.556667,0.12858201,3,16.6,0.17320508,0.033333333,11.251333,11.382,0.1,16.404,16.796,0.1,8.360667,8.752667
plate-1-well-1B_S26,plate-1-well-1B,lhp,rock,meristem,y,2021,7,8,rock_1_LHP,tidepool,,NA,,NA,NA,,0,,,,,,,field,,,,NA,NA,,3,17.42667,0.02516611,3,7.343333,0.070945989,3,19.46667,0.11547005,0.014529663,17.398189,17.45514,0.06666667,19.336,19.59733,0.06666667,7.212667,7.474
plate-1-well-1C_S27,plate-1-well-1C,scp,rock,meristem,y,2021,6,10,rock_3_SCP,ocean,,NA,,NA,NA,,0,,,,,,,field,,,,NA,NA,,3,11.01,0.31096624,3,8.333333,0.047258156,3,15.36667,0.05773503,0.17953644,10.658109,11.36189,0.03333333,15.301333,15.432,0.03333333,8.268,8.398667
plate-1-well-1D_S28,plate-1-well-1D,lhp,meristem,meristem,y,2021,5,27,meristem_4_LHP,ocean,,NA,dry,47,17.5,light,yes,,,,,,,field,,,,11,11.5,,3,16.52667,0.09865766,3,7.823333,0.015275252,3,13.56667,0.05773503,0.056960025,16.415025,16.63831,0.03333333,13.501333,13.632,0.03333333,7.758,7.888667
plate-1-well-1F_S30,plate-1-well-1F,tb,rock,meristem,y,2021,6,24,rock_2_TB,ocean,,NA,,NA,NA,,0,,,,,,,field,,,,NA,NA,,3,19.48,0.10440307,3,8.03,0.034641016,3,19.46667,0.15275252,0.060277138,19.361857,19.59814,0.08819171,19.293811,19.63952,0.08819171,7.857144,8.202856
plate-1-well-1G_S31,plate-1-well-1G,scp,meristem,meristem,y,2021,4,29,meristem_3_SCP,ocean,,NA,waves,18.5,6.2,light,no,,,,,,,field,,,,12.3,10.4,,3,26.34,0.66053009,3,7.896667,0.060277138,3,11.26667,0.28867514,0.381357225,25.59254,27.08746,0.16666667,10.94,11.59333,0.16666667,7.57,8.223333
plate-1-well-1H_S32,plate-1-well-1H,gw,meristem,meristem,y,2021,7,9,meristem_3_GW,ocean,,NA,,NA,NA,,0,,,,,,,field,,,,NA,NA,,3,26.27,0.16703293,3,8.193333,0.100166528,3,16.56667,0.32145503,0.096436508,26.080984,26.45902,0.18559214,16.202906,16.93043,0.18559214,7.829573,8.557094
plate-1-well-2A_S33,plate-1-well-2A,gw,rock,meristem,y,2021,4,30,rock_2_GW,ocean,,NA,,NA,NA,,0,,,,,,,field,,,,NA,NA,,3,28.06333,0.2510644,3,8.026667,0.046188022,3,10.36667,0.40414519,0.144952099,27.779227,28.34744,0.23333333,9.909333,10.824,0.23333333,7.569333,8.484
plate-1-well-2D_S36,plate-1-well-2D,scp,meristem,meristem,y,2021,6,23,meristem_3_SCP,ocean,,NA,submerged,27,5,light,no,n,n,,,,,field,,,,15.7,17.2,was also labeled M2,3,18.77667,0.090185,3,8.003333,0.060277138,3,18.46667,0.05773503,0.052068331,18.674613,18.87872,0.03333333,18.401333,18.532,0.03333333,7.938,8.068667
plate-1-well-2E_S37,plate-1-well-2E,gw,meristem,meristem,y,2021,5,28,meristem_2_GW,ocean,,NA,dry,32.5,10.3,moderate,yes,,,,,,,field,,,,15.8,16.4,,3,26.25,0.1473092,3,8.156667,0.005773503,3,12.36667,0.5033223,0.085049005,26.083304,26.4167,0.29059326,11.797104,12.93623,0.29059326,7.587104,8.726229
plate-1-well-3D_S44,plate-1-well-3D,tb,water,meristem,y,2021,5,28,water_1_TB,tidepool,,NA,,NA,NA,,0,,,,,,,field,,,,NA,NA,"tidepool, went into 4D",3,17.57667,0.1266228,3,8.153333,0.047258156,3,16.86667,0.15275252,0.073105707,17.433379,17.71995,0.08819171,16.693811,17.03952,0.08819171,7.980478,8.326189
plate-1-well-3E_S45,plate-1-well-3E,scp,meristem,meristem,y,2021,6,23,meristem_5_SCP,ocean,,NA,dry,18,5,light,no,n,n,,,,,field,,,,12.9,15,,3,18.77667,0.090185,3,8.003333,0.060277138,3,18.46667,0.05773503,0.052068331,18.674613,18.87872,0.03333333,18.401333,18.532,0.03333333,7.938,8.068667
